route_id,service_id,trip_id,direction_id,block_id,shape_id
WHOOSH,Summer_Sun-Thu,WHOOSH_Summer_Sun-Thu_In,1,,Shp_WHOOSH_Summer_In
WHOOSH,Summer_Fri-Sat,WHOOSH_Summer_Fri-Sat_Out,0,,Shp_WHOOSH_Summer_Out
WHOOSH,Summer_Fri-Sat,WHOOSH_Summer_Fri-Sat_In,1,,Shp_WHOOSH_Summer_In
Hyannis,Summer_Hyannis,Hyannis_Summer,,,Shp_Hyannis
Ptown,Summer_Ptown,Ptown_NTruro_Summer_Mon-Sun,,,Shp_Ptown_NTruro
Ptown,Summer_Ptown,Ptown_Summer_Mon-Sun,,,Shp_Ptown
Ptown,Summer_Ptown,Ptown_Summer_Mon-Sun_Eve,,,Shp_Ptown
CapeFLYER,Summer_Sat-Sun,CapeFLYER_Sat-Sun_Out,0,,Shp_CapeFLYER_to_BBay
CapeFLYER,Summer_Fri,CapeFLYER_Fri_In,1,,Shp_CapeFLYER_to_Falmouth
CapeFLYER,Summer_Sat-Sun,CapeFLYER_Sat-Sun_In,1,,Shp_CapeFLYER_to_Falmouth
Bike,Summer_Bike,Bike_Summer_Out,0,,Shp_Bike_Out
Bike,Summer_Bike,Bike_Summer_In,1,,Shp_Bike_In
H2O,FallWintSpr_Mon-Fri,H2O_FallWintSpr_Mon-Fri_Out1,0,,Shp_H2O_FallWintSpr_Out
H2O,FallWintSpr_Mon-Fri,H2O_FallWintSpr_Mon-Fri_Out2,0,,Shp_H2O_FallWintSpr_Out
H2O,FallWintSpr_Mon-Fri,H2O_FallWintSpr_Mon-Fri_Out3,0,,Shp_H2O_FallWintSpr_Out
H2O,FallWintSpr_Mon-Sat,H2O_FallWintSpr_Mon-Sat_Out4,0,,Shp_H2O_FallWintSpr_Out
H2O,FallWintSpr_Mon-Sat,H2O_FallWintSpr_Mon-Sat_Out5,0,,Shp_H2O_FallWintSpr_Out
H2O,FallWintSpr_Mon-Sat,H2O_FallWintSpr_Mon-Sat_Out6,0,,Shp_H2O_FallWintSpr_Out
H2O,FallWintSpr_Mon-Sat,H2O_FallWintSpr_Mon-Sat_Out7,0,,Shp_H2O_FallWintSpr_Out
H2O,FallWintSpr_Mon-Sat,H2O_FallWintSpr_Mon-Sat_Out8,0,,Shp_H2O_FallWintSpr_Out
H2O,FallWintSpr_Mon-Sat,H2O_FallWintSpr_Mon-Sat_Out9,0,,Shp_H2O_FallWintSpr_Out+StFancis
H2O,FallWintSpr_Mon-Sat,H2O_FallWintSpr_Mon-Sat_Out10,0,,Shp_H2O_FallWintSpr_Out
H2O,FallWintSpr_Mon-Sat,H2O_FallWintSpr_Mon-Sat_Out11,0,,Shp_H2O_FallWintSpr_Out_Short
H2O,FallWintSpr_Mon-Sat,H2O_FallWintSpr_Mon-Sat_Out12,0,,Shp_H2O_FallWintSpr_Out
H2O,FallWintSpr_Mon-Sat,H2O_FallWintSpr_Mon-Sat_Out13,0,,Shp_H2O_FallWintSpr_Out
H2O,FallWintSpr_Mon-Sat,H2O_FallWintSpr_Mon-Sat_Out14,0,,Shp_H2O_FallWintSpr_Out
H2O,FallWintSpr_Mon-Fri,H2O_FallWintSpr_Mon-Fri_In1,1,,Shp_H2O_FallWintSpr_In_Short
H2O,FallWintSpr_Mon-Fri,H2O_FallWintSpr_Mon-Fri_In2,1,,Shp_H2O_FallWintSpr_In+Schools
H2O,FallWintSpr_Mon-Fri,H2O_FallWintSpr_Mon-Fri_In3,1,,Shp_H2O_FallWintSpr_In
H2O,FallWintSpr_Mon-Sat,H2O_FallWintSpr_Mon-Sat_In4,1,,Shp_H2O_FallWintSpr_In
H2O,FallWintSpr_Mon-Sat,H2O_FallWintSpr_Mon-Sat_In5,1,,Shp_H2O_FallWintSpr_In
H2O,FallWintSpr_Mon-Sat,H2O_FallWintSpr_Mon-Sat_In6,1,,Shp_H2O_FallWintSpr_In
H2O,FallWintSpr_Mon-Sat,H2O_FallWintSpr_Mon-Sat_In7,1,,Shp_H2O_FallWintSpr_In
H2O,FallWintSpr_Mon-Sat,H2O_FallWintSpr_Mon-Sat_In8,1,,Shp_H2O_FallWintSpr_In
H2O,FallWintSpr_Mon-Sat,H2O_FallWintSpr_Mon-Sat_In9,1,,Shp_H2O_FallWintSpr_In
H2O,FallWintSpr_Mon-Sat,H2O_FallWintSpr_Mon-Sat_In10,1,,Shp_H2O_FallWintSpr_In
H2O,FallWintSpr_Mon-Sat,H2O_FallWintSpr_Mon-Sat_In11,1,,Shp_H2O_FallWintSpr_In
H2O,FallWintSpr_Mon-Sat,H2O_FallWintSpr_Mon-Sat_In12,1,,Shp_H2O_FallWintSpr_In
H2O,FallWintSpr_Mon-Sat,H2O_FallWintSpr_Mon-Sat_In13,1,,Shp_H2O_FallWintSpr_In
H2O,FallWintSpr_Mon-Sat,H2O_FallWintSpr_Mon-Sat_In14,1,,Shp_H2O_FallWintSpr_In
Sealine,FallWintSpr_Mon-Fri,Sealine_FallWintSpr_Mon-Fri_Out1,0,,Shp_Sealine_FallWintSpr_Out_MorningShort
Sealine,FallWintSpr_Mon-Fri,Sealine_FallWintSpr_Mon-Fri_Out2,0,,Shp_Sealine_FallWintSpr_Out_MorningShort
Sealine,FallWintSpr_Mon-Fri,Sealine_FallWintSpr_Mon-Fri_Out3,0,,Shp_Sealine_FallWintSpr_Out
Sealine,FallWintSpr_Mon-Fri,Sealine_FallWintSpr_Mon-Fri_Out4,0,,Shp_Sealine_FallWintSpr_Out
Sealine,FallWintSpr_Mon-Sat,Sealine_FallWintSpr_Mon-Sat_Out5,0,,Shp_Sealine_FallWintSpr_Out
Sealine,FallWintSpr_Mon-Sat,Sealine_FallWintSpr_Mon-Sat_Out6,0,,Shp_Sealine_FallWintSpr_Out
Sealine,FallWintSpr_Mon-Sat,Sealine_FallWintSpr_Mon-Sat_Out7,0,,Shp_Sealine_FallWintSpr_Out
Sealine,FallWintSpr_Mon-Sat,Sealine_FallWintSpr_Mon-Sat_Out8,0,,Shp_Sealine_FallWintSpr_Out
Sealine,FallWintSpr_Mon-Sat,Sealine_FallWintSpr_Mon-Sat_Out9,0,,Shp_Sealine_FallWintSpr_Out
Sealine,FallWintSpr_Mon-Sat,Sealine_FallWintSpr_Mon-Sat_Out10,0,,Shp_Sealine_FallWintSpr_Out+HTCToStFrancis
Sealine,FallWintSpr_Mon-Sat,Sealine_FallWintSpr_Mon-Sat_Out11,0,,Shp_Sealine_FallWintSpr_Out+StFrancisToHTC
Sealine,FallWintSpr_Mon-Sat,Sealine_FallWintSpr_Mon-Sat_Out12,0,,Shp_Sealine_FallWintSpr_Out_Short
Sealine,FallWintSpr_Mon-Sat,Sealine_FallWintSpr_Mon-Sat_Out13,0,,Shp_Sealine_FallWintSpr_Out
Sealine,FallWintSpr_Mon-Sat,Sealine_FallWintSpr_Mon-Sat_Out14,0,,Shp_Sealine_FallWintSpr_Out+SturgisToHTC
Sealine,FallWintSpr_Mon-Sat,Sealine_FallWintSpr_Mon-Sat_Out15,0,,Shp_Sealine_FallWintSpr_Out
Sealine,FallWintSpr_Mon-Fri,Sealine_FallWintSpr_Mon-Fri_In1,1,,Shp_Sealine_FallWintSpr_In_Schools+Mashpee
Sealine,FallWintSpr_Mon-Fri,Sealine_FallWintSpr_Mon-Fri_In2,1,,Shp_Sealine_FallWintSpr_In_Short
Sealine,FallWintSpr_Mon-Fri,Sealine_FallWintSpr_Mon-Fri_In3,1,,Shp_Sealine_FallWintSpr_In_StartFalmMall
Sealine,FallWintSpr_Mon-Fri,Sealine_FallWintSpr_Mon-Fri_In4,1,,Shp_Sealine_FallWintSpr_In_Schools+Mashpee
Sealine,FallWintSpr_Mon-Sat,Sealine_FallWintSpr_Mon-Fri_In5,1,,Shp_Sealine_FallWintSpr_In
Sealine,FallWintSpr_Mon-Sat,Sealine_FallWintSpr_Mon-Sat_In6,1,,Shp_Sealine_FallWintSpr_In
Sealine,FallWintSpr_Mon-Sat,Sealine_FallWintSpr_Mon-Sat_In7,1,,Shp_Sealine_FallWintSpr_In
Sealine,FallWintSpr_Mon-Sat,Sealine_FallWintSpr_Mon-Sat_In8,1,,Shp_Sealine_FallWintSpr_In
Sealine,FallWintSpr_Mon-Sat,Sealine_FallWintSpr_Mon-Sat_In9,1,,Shp_Sealine_FallWintSpr_In
Sealine,FallWintSpr_Mon-Sat,Sealine_FallWintSpr_Mon-Sat_In10,1,,Shp_Sealine_FallWintSpr_In
Sealine,FallWintSpr_Mon-Sat,Sealine_FallWintSpr_Mon-Sat_In11,1,,Shp_Sealine_FallWintSpr_In
Sealine,FallWintSpr_Mon-Sat,Sealine_FallWintSpr_Mon-Sat_In12,1,,Shp_Sealine_FallWintSpr_In
Sealine,FallWintSpr_Mon-Sat,Sealine_FallWintSpr_Mon-Sat_In13,1,,Shp_Sealine_FallWintSpr_In
Sealine,FallWintSpr_Mon-Sat,Sealine_FallWintSpr_Mon-Sat_In14,1,,Shp_Sealine_FallWintSpr_In
Sealine,FallWintSpr_Mon-Sat,Sealine_FallWintSpr_Mon-Sat_In15,1,,Shp_Sealine_FallWintSpr_In
Sealine,FallWintSpr_Mon-Sat,Sealine_FallWintSpr_Mon-Sat_In16,1,,Shp_Sealine_FallWintSpr_In
Sandwich,FallWintSpr_Mon-Fri,Sandwich_FallWintSpr_Mon-Fri_Out1,0,,Shp_Sandwich_FallWintSpr_Out
Sandwich,FallWintSpr_Mon-Fri,Sandwich_FallWintSpr_Mon-Fri_Out2,0,,Shp_Sandwich_FallWintSpr_Out_Short
Sandwich,FallWintSpr_Mon-Fri,Sandwich_FallWintSpr_Mon-Fri_Out3,0,,Shp_Sandwich_FallWintSpr_Out_Short
Sandwich,FallWintSpr_Mon-Fri,Sandwich_FallWintSpr_Mon-Fri_Out4,0,,Shp_Sandwich_FallWintSpr_Out
Sandwich,FallWintSpr_Mon-Fri,Sandwich_FallWintSpr_Mon-Fri_Out5,0,,Shp_Sandwich_FallWintSpr_Out_Short
Sandwich,FallWintSpr_Mon-Fri,Sandwich_FallWintSpr_Mon-Fri_Out6,0,,Shp_Sandwich_FallWintSpr_Out+StFrancis
Sandwich,FallWintSpr_Mon-Fri,Sandwich_FallWintSpr_Mon-Fri_Out7,0,,Shp_Sandwich_FallWintSpr_Out+Schools
Sandwich,FallWintSpr_Mon-Fri,Sandwich_FallWintSpr_Mon-Fri_Out8,0,,Shp_Sandwich_FallWintSpr_Out_Short
Sandwich,FallWintSpr_Mon-Fri,Sandwich_FallWintSpr_Mon-Fri_Out9,0,,Shp_Sandwich_FallWintSpr_Out
Sandwich,FallWintSpr_Mon-Fri,Sandwich_FallWintSpr_Mon-Fri_In1,1,,Shp_Sandwich_FallWintSpr_In+Schools
Sandwich,FallWintSpr_Mon-Fri,Sandwich_FallWintSpr_Mon-Fri_In2,1,,Shp_Sandwich_FallWintSpr_In_Short
Sandwich,FallWintSpr_Mon-Fri,Sandwich_FallWintSpr_Mon-Fri_In3,1,,Shp_Sandwich_FallWintSpr_In
