trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
H2O_Summer_Mon-Sun_Out8,14:09:00,14:09:00,PatriotSq,7,0,0
H2O_Summer_Mon-Sun_Out8,14:13:00,14:13:00,DennisMunicipal,8,0,0
H2O_Summer_Mon-Sun_Out8,14:19:00,14:19:00,StarMarketHarwich,9,0,0
H2O_Summer_Mon-Sun_Out8,14:21:00,14:21:00,28Harwich,10,0,0
H2O_Summer_Mon-Sun_Out8,14:27:00,14:27:00,MortonSChatham,11,0,0
H2O_Summer_Mon-Sun_Out8,14:37:00,14:37:00,AnchorageChatham,12,0,0
H2O_Summer_Mon-Sun_Out8,14:40:00,14:40:00,ChathamRotary,13,0,0
H2O_Summer_Mon-Sun_Out8,14:54:00,14:54:00,39SOrleans,14,0,0
H2O_Summer_Mon-Sun_Out8,15:03:00,15:03:00,MainOrleansCVSMobil,15,0,0
H2O_Summer_Mon-Sun_Out8,15:07:00,15:07:00,SkaketCorners,16,0,0
H2O_Summer_Mon-Sun_Out8,15:09:00,15:09:00,OldColonyVillage,17,0,0
H2O_Summer_Mon-Sun_Out8,15:20:00,15:20:00,S&SOrleans,18,0,0
H2O_Summer_Mon-Sun_Out9,14:30:00,14:30:00,HTC,1,0,0
H2O_Summer_Mon-Sun_Out9,14:36:00,14:36:00,CCHospitalBayviewSt,2,0,0
H2O_Summer_Mon-Sun_Out9,14:45:00,14:45:00,CrowellWYarmouth,3,0,0
H2O_Summer_Mon-Sun_Out9,14:52:00,14:52:00,S&SSYarmouth,4,0,0
H2O_Summer_Mon-Sun_Out9,14:56:00,14:56:00,ShawsSYarmouth,5,0,0
H2O_Summer_Mon-Sun_Out9,14:59:00,14:59:00,MainSYarmouth,6,0,0
H2O_Summer_Mon-Sun_Out9,15:09:00,15:09:00,PatriotSq,7,0,0
H2O_Summer_Mon-Sun_Out9,15:13:00,15:13:00,DennisMunicipal,8,0,0
H2O_Summer_Mon-Sun_Out9,15:19:00,15:19:00,StarMarketHarwich,9,0,0
H2O_Summer_Mon-Sun_Out9,15:21:00,15:21:00,28Harwich,10,0,0
H2O_Summer_Mon-Sun_Out9,15:27:00,15:27:00,MortonSChatham,11,0,0
H2O_Summer_Mon-Sun_Out9,15:37:00,15:37:00,AnchorageChatham,12,0,0
H2O_Summer_Mon-Sun_Out9,15:40:00,15:40:00,ChathamRotary,13,0,0
H2O_Summer_Mon-Sun_Out9,15:54:00,15:54:00,39SOrleans,14,0,0
H2O_Summer_Mon-Sun_Out9,16:03:00,16:03:00,MainOrleansCVSMobil,15,0,0
H2O_Summer_Mon-Sun_Out9,16:07:00,16:07:00,SkaketCorners,16,0,0
H2O_Summer_Mon-Sun_Out9,16:09:00,16:09:00,OldColonyVillage,17,0,0
H2O_Summer_Mon-Sun_Out9,16:20:00,16:20:00,S&SOrleans,18,0,0
H2O_Summer_Mon-Sun_Out10,15:30:00,15:30:00,HTC,1,0,0
H2O_Summer_Mon-Sun_Out10,15:36:00,15:36:00,CCHospitalBayviewSt,2,0,0
H2O_Summer_Mon-Sun_Out10,15:45:00,15:45:00,CrowellWYarmouth,3,0,0
H2O_Summer_Mon-Sun_Out10,15:52:00,15:52:00,S&SSYarmouth,4,0,0
H2O_Summer_Mon-Sun_Out10,15:56:00,15:56:00,ShawsSYarmouth,5,0,0
H2O_Summer_Mon-Sun_Out10,15:59:00,15:59:00,MainSYarmouth,6,0,0
H2O_Summer_Mon-Sun_Out10,16:09:00,16:09:00,PatriotSq,7,0,0
H2O_Summer_Mon-Sun_Out10,16:13:00,16:13:00,DennisMunicipal,8,0,0
H2O_Summer_Mon-Sun_Out10,16:19:00,16:19:00,StarMarketHarwich,9,0,0
H2O_Summer_Mon-Sun_Out10,16:21:00,16:21:00,28Harwich,10,0,0
H2O_Summer_Mon-Sun_Out10,16:27:00,16:27:00,MortonSChatham,11,0,0
H2O_Summer_Mon-Sun_Out10,16:37:00,16:37:00,AnchorageChatham,12,0,0
H2O_Summer_Mon-Sun_Out10,16:40:00,16:40:00,ChathamRotary,13,0,0
H2O_Summer_Mon-Sun_Out10,16:54:00,16:54:00,39SOrleans,14,0,0
H2O_Summer_Mon-Sun_Out10,17:03:00,17:03:00,MainOrleansCVSMobil,15,0,0
H2O_Summer_Mon-Sun_Out10,17:07:00,17:07:00,SkaketCorners,16,0,0
H2O_Summer_Mon-Sun_Out10,17:09:00,17:09:00,OldColonyVillage,17,0,0
H2O_Summer_Mon-Sun_Out10,17:20:00,17:20:00,S&SOrleans,18,0,0
H2O_Summer_Mon-Sun_Out11,16:30:00,16:30:00,HTC,1,0,0
H2O_Summer_Mon-Sun_Out11,16:36:00,16:36:00,CCHospitalBayviewSt,2,0,0
H2O_Summer_Mon-Sun_Out11,16:45:00,16:45:00,CrowellWYarmouth,3,0,0
H2O_Summer_Mon-Sun_Out11,16:52:00,16:52:00,S&SSYarmouth,4,0,0
H2O_Summer_Mon-Sun_Out11,16:56:00,16:56:00,ShawsSYarmouth,5,0,0
H2O_Summer_Mon-Sun_Out11,16:59:00,16:59:00,MainSYarmouth,6,0,0
H2O_Summer_Mon-Sun_Out11,17:09:00,17:09:00,PatriotSq,7,0,0
H2O_Summer_Mon-Sun_Out11,17:13:00,17:13:00,DennisMunicipal,8,0,0
H2O_Summer_Mon-Sun_Out11,17:19:00,17:19:00,StarMarketHarwich,9,0,0
H2O_Summer_Mon-Sun_Out11,17:21:00,17:21:00,28Harwich,10,0,0
H2O_Summer_Mon-Sun_Out11,17:27:00,17:27:00,MortonSChatham,11,0,0
H2O_Summer_Mon-Sun_Out11,17:37:00,17:37:00,AnchorageChatham,12,0,0
H2O_Summer_Mon-Sun_Out11,17:40:00,17:40:00,ChathamRotary,13,0,0
H2O_Summer_Mon-Sun_Out11,17:54:00,17:54:00,39SOrleans,14,0,0
H2O_Summer_Mon-Sun_Out11,18:03:00,18:03:00,MainOrleansCVSMobil,15,0,0
H2O_Summer_Mon-Sun_Out11,18:07:00,18:07:00,SkaketCorners,16,0,0
H2O_Summer_Mon-Sun_Out11,18:09:00,18:09:00,OldColonyVillage,17,0,0
H2O_Summer_Mon-Sun_Out11,18:20:00,18:20:00,S&SOrleans,18,0,0
H2O_Summer_Mon-Sun_Out12,17:30:00,17:30:00,HTC,1,0,0
H2O_Summer_Mon-Sun_Out12,17:36:00,17:36:00,CCHospitalBayviewSt,2,0,0
H2O_Summer_Mon-Sun_Out12,17:45:00,17:45:00,CrowellWYarmouth,3,0,0
H2O_Summer_Mon-Sun_Out12,17:52:00,17:52:00,S&SSYarmouth,4,0,0
H2O_Summer_Mon-Sun_Out12,17:56:00,17:56:00,ShawsSYarmouth,5,0,0
H2O_Summer_Mon-Sun_Out12,17:59:00,17:59:00,MainSYarmouth,6,0,0
H2O_Summer_Mon-Sun_Out12,18:09:00,18:09:00,PatriotSq,7,0,0
H2O_Summer_Mon-Sun_Out12,18:13:00,18:13:00,DennisMunicipal,8,0,0
H2O_Summer_Mon-Sun_Out12,18:19:00,18:19:00,StarMarketHarwich,9,0,0
H2O_Summer_Mon-Sun_Out12,18:21:00,18:21:00,28Harwich,10,0,0
H2O_Summer_Mon-Sun_Out12,18:27:00,18:27:00,MortonSChatham,11,0,0
H2O_Summer_Mon-Sun_Out12,18:37:00,18:37:00,AnchorageChatham,12,0,0
H2O_Summer_Mon-Sun_Out12,18:40:00,18:40:00,ChathamRotary,13,0,0
H2O_Summer_Mon-Sun_Out12,18:54:00,18:54:00,39SOrleans,14,0,0
H2O_Summer_Mon-Sun_Out12,19:03:00,19:03:00,MainOrleansCVSMobil,15,0,0
H2O_Summer_Mon-Sun_Out12,19:07:00,19:07:00,SkaketCorners,16,0,0
H2O_Summer_Mon-Sun_Out12,19:09:00,19:09:00,OldColonyVillage,17,0,0
H2O_Summer_Mon-Sun_Out12,19:20:00,19:20:00,S&SOrleans,18,0,0
H2O_Summer_Mon-Sun_Out13,18:30:00,18:30:00,HTC,1,0,0
H2O_Summer_Mon-Sun_Out13,18:36:00,18:36:00,CCHospitalBayviewSt,2,0,0
H2O_Summer_Mon-Sun_Out13,18:45:00,18:45:00,CrowellWYarmouth,3,0,0
H2O_Summer_Mon-Sun_Out13,18:52:00,18:52:00,S&SSYarmouth,4,0,0
H2O_Summer_Mon-Sun_Out13,18:56:00,18:56:00,ShawsSYarmouth,5,0,0
H2O_Summer_Mon-Sun_Out13,18:59:00,18:59:00,MainSYarmouth,6,0,0
H2O_Summer_Mon-Sun_Out13,19:09:00,19:09:00,PatriotSq,7,0,0
H2O_Summer_Mon-Sun_Out13,19:13:00,19:13:00,DennisMunicipal,8,0,0
H2O_Summer_Mon-Sun_Out13,19:19:00,19:19:00,StarMarketHarwich,9,0,0
H2O_Summer_Mon-Sun_Out13,19:21:00,19:21:00,28Harwich,10,0,0
H2O_Summer_Mon-Sun_Out13,19:27:00,19:27:00,MortonSChatham,11,0,0
H2O_Summer_Mon-Sun_Out13,19:37:00,19:37:00,AnchorageChatham,12,0,0
H2O_Summer_Mon-Sun_Out13,19:40:00,19:40:00,ChathamRotary,13,0,0
H2O_Summer_Mon-Sun_Out13,19:54:00,19:54:00,39SOrleans,14,0,0
H2O_Summer_Mon-Sun_Out13,20:03:00,20:03:00,MainOrleansCVSMobil,15,0,0
H2O_Summer_Mon-Sun_Out13,20:07:00,20:07:00,SkaketCorners,16,0,0
H2O_Summer_Mon-Sun_Out13,20:09:00,20:09:00,OldColonyVillage,17,0,0
H2O_Summer_Mon-Sun_Out13,20:20:00,20:20:00,S&SOrleans,18,0,0
H2O_Summer_Mon-Sun_Out14,19:30:00,19:30:00,HTC,1,0,0
H2O_Summer_Mon-Sun_Out14,19:36:00,19:36:00,CCHospitalBayviewSt,2,0,0
H2O_Summer_Mon-Sun_Out14,19:45:00,19:45:00,CrowellWYarmouth,3,0,0
H2O_Summer_Mon-Sun_Out14,19:52:00,19:52:00,S&SSYarmouth,4,0,0
H2O_Summer_Mon-Sun_Out14,19:56:00,19:56:00,ShawsSYarmouth,5,0,0
H2O_Summer_Mon-Sun_Out14,19:59:00,19:59:00,MainSYarmouth,6,0,0
H2O_Summer_Mon-Sun_Out14,20:09:00,20:09:00,PatriotSq,7,0,0
H2O_Summer_Mon-Sun_Out14,20:13:00,20:13:00,DennisMunicipal,8,0,0
H2O_Summer_Mon-Sun_Out14,20:19:00,20:19:00,StarMarketHarwich,9,0,0
H2O_Summer_Mon-Sun_Out14,20:21:00,20:21:00,28Harwich,10,0,0
H2O_Summer_Mon-Sun_Out14,20:27:00,20:27:00,MortonSChatham,11,0,0
H2O_Summer_Mon-Sun_Out14,20:37:00,20:37:00,AnchorageChatham,12,0,0
H2O_Summer_Mon-Sun_Out14,20:40:00,20:40:00,ChathamRotary,13,0,0
H2O_Summer_Mon-Sun_Out14,20:54:00,20:54:00,39SOrleans,14,0,0
H2O_Summer_Mon-Sun_Out14,21:03:00,21:03:00,MainOrleansCVSMobil,15,0,0
H2O_Summer_Mon-Sun_Out14,21:07:00,21:07:00,SkaketCorners,16,0,0
H2O_Summer_Mon-Sun_Out14,21:09:00,21:09:00,OldColonyVillage,17,0,0
H2O_Summer_Mon-Sun_Out14,21:20:00,21:20:00,S&SOrleans,18,0,0
H2O_Summer_Fri_Out15,20:15:00,20:15:00,HTC,1,0,0
H2O_Summer_Fri_Out15,20:23:00,20:23:00,CrowellWYarmouth,3,0,0
H2O_Summer_Fri_Out15,20:28:00,20:28:00,MainSYarmouth,6,0,0
H2O_Summer_Fri_Out15,20:33:00,20:33:00,DennisMunicipal,8,0,0
H2O_Summer_Fri_Out15,20:37:00,20:37:00,StarMarketHarwich,9,0,0
H2O_Summer_Mon-Fri_In1,5:45:00,5:45:00,MainOrleansCVSMobil,4,0,0
H2O_Summer_Mon-Fri_In1,5:52:00,5:52:00,39SOrleans,5,0,0
H2O_Summer_Mon-Fri_In1,6:07:00,6:07:00,ChathamRotary,6,0,0
H2O_Summer_Mon-Fri_In1,6:12:00,6:12:00,AnchorageChatham,7,0,0
H2O_Summer_Mon-Fri_In1,6:21:00,6:21:00,MortonSChatham,8,0,0
H2O_Summer_Mon-Fri_In1,6:27:00,6:27:00,28Harwich,9,0,0
H2O_Summer_Mon-Fri_In1,6:34:00,6:34:00,DennisMunicipal,11,0,0
H2O_Summer_Mon-Fri_In1,6:44:00,6:44:00,MainSYarmouth,13,0,0
H2O_Summer_Mon-Fri_In1,6:50:00,6:50:00,CrowellWYarmouth,16,0,0
H2O_Summer_Mon-Fri_In1,,,CCHospitalBayviewSt,17,2,3
H2O_Summer_Mon-Fri_In1,6:59:00,6:59:00,HTC,18,0,0
H2O_Summer_Mon-Fri_In2,6:30:00,6:30:00,S&SOrleans,1,0,0
H2O_Summer_Mon-Fri_In2,6:33:00,6:33:00,OldColonyVillage,2,0,0
H2O_Summer_Mon-Fri_In2,6:36:00,6:36:00,SkaketCorners,3,0,0
H2O_Summer_Mon-Fri_In2,6:38:00,6:38:00,MainOrleansCVSMobil,4,0,0
H2O_Summer_Mon-Fri_In2,6:45:00,6:45:00,39SOrleans,5,0,0
